;2021;2022;2023;2024;LTM
"Дата отчета";24.09.2024;24.09.2024;02.09.2024;26.03.2025;22.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";1.56;2.49;3.95;6.01;5.04
"Операционная прибыль, млрд руб";0.664;0.856;1.60;1.83;0.022
"EBITDA, млрд руб";0.694;0.904;1.66;2.19;0.456
"Чистая прибыль, млрд руб";0.651;0.970;1.46;1.95;0.486
"EBITDAC, млрд руб";0.652;0.836;1.52;2.13;-1.47
"NIC, млрд руб";0.639;0.951;1.38;2.23;0.634
"Операционный денежный поток, млрд руб";0.386;1.12;1.12;1.69;1.69
"CAPEX, млрд руб";0.042;0.068;0.145;0.066;0.325
"FCF, млрд руб";0.344;1.05;0.970;1.60;1.34
"Див.выплата, млрд руб";0.545;0.891;1.46;0.179;0.537
"Дивиденд, руб/акцию";;;;0,86;2,57
"Див доход, ао, %";0.0%;0.0%;0.0%;0.6%;2.8%
"Дивиденды/прибыль, %";84%;92%;100%;9%;110%
"Опер. расходы, млрд руб";0.728;1.32;2.10;3.71;4.60
"Себестоимость, млрд руб";0.165;0.328;0.261;0.482;0.378
"Амортизация, млрд руб";0.0;0.0;0.1;0.1;0.1
"Расх на персонал, млрд руб";0.710;1.40;1.92;3.06;3.84
"Процентные расходы, млрд руб";;;;;0.014
"Активы, млрд руб";2.05;3.02;3.36;4.43;2.86
"Чистые активы, млрд руб";1.40;1.83;1.81;2.39;0.863
"Долг, млрд руб";;0.075;0.070;0.077;0.072
"Наличность, млрд руб";1.19;1.78;1.25;1.37;0.696
"Чистый долг, млрд руб";-1.19;-1.71;-1.18;-1.29;-0.62
"Цена акции ао, руб";95.0;95.0;95.0;134.2;92.5
"Число акций ао, млн";200.0;200.0;200.0;232.6;232.6
"Free Float, %";;;;18.0%;13.0%
"Капитализация, млрд руб";19.0;19.0;19.0;31.2;21.5
"EV, млрд руб";17.8;17.3;17.8;29.9;20.9
"Баланс стоимость, млрд руб";1.35;1.76;1.66;2.28;0.48
"EPS, руб";3.26;4.85;7.28;8.39;2.09
"FCF/акцию, руб";1.72;5.26;4.85;6.88;5.75
"BV/акцию, руб";6.77;8.82;8.28;9.82;2.04
"Рентаб EBITDA, %";44.6%;36.2%;42.1%;36.5%;9.1%
"Чистая рентаб, %";41.9%;38.9%;36.9%;32.4%;9.6%
"Доходность FCF, %";1.8%;5.5%;5.1%;5.1%;6.2%
"ROE, %";46.4%;53.1%;80.4%;81.5%;56.3%
"ROA, %";31.8%;32.2%;43.4%;44.0%;17.0%
P/E;29.2;19.6;13.0;16.0;44.3
P/FCF;55.2;18.1;19.6;19.5;16.1
P/S;12.2;7.62;4.81;5.19;4.27
P/BV;14.0;10.8;11.5;13.7;45.3
EV/EBITDA;25.7;19.1;10.7;13.6;45.8
Долг/EBITDA;-1.72;-1.89;-0.71;-0.59;-1.37
"Персонал, чел";177;334;436;632;726
"Производительность труда, млн руб/чел/год";8.79;7.47;9.06;9.51;6.94
"Расходы/чел/год, тыс.р";"4 011";"4 177";"4 406";"4 839";"5 285"
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";3%;3%;4%;1%;6%
