;2020;2021;2022;2023;2024;LTM
"Дата отчета";13.04.2023;14.06.2022;26.04.2023;27.03.2024;31.03.2025;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Флот, тыс шт";;;;150;214;245
"Число поездок, млн шт";;;;103.9;149.7;141.2
"Выручка, млрд руб";0.860;4.13;6.96;10.7;14.3;13.4
"Операционная прибыль, млрд руб";0.230;1.93;1.41;2.69;3.21;1.05
"EBITDA, млрд руб";0.410;2.65;2.52;4.50;6.05;4.29
"Чистая прибыль, млрд руб";0.220;1.80;0.830;1.94;1.99;-0.523
"Операционный денежный поток, млрд руб";0.280;1.73;2.15;2.88;3.84;1.87
"CAPEX, млрд руб";1.28;3.20;3.75;6.59;5.12;4.15
"FCF, млрд руб";-1.000;-1.50;-2.02;-3.46;-1.000;-1.77
"Див доход, ао, %";;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";0.180;0.310;0.890;1.21;1.83;1.84
"Себестоимость, млрд руб";0.450;1.88;4.72;6.83;9.16;10.1
"Амортизация, млрд руб";;0.7;1.1;1.8;2.6;2.6
"Расх на персонал, млрд руб";;;1.19;1.21;2.64;2.88
"Процентные расходы, млрд руб";;0.138;0.559;0.920;1.64;2.20
"Активы, млрд руб";1.33;5.15;11.4;18.1;21.9;21.9
"Чистые активы, млрд руб";0.210;2.41;4.87;5.73;7.28;4.66
"Долг, млрд руб";1.04;2.51;5.61;10.7;12.7;14.0
"Наличность, млрд руб";0.030;0.390;2.73;3.16;3.58;2.45
"Чистый долг, млрд руб";1.01;2.12;2.88;7.54;9.12;11.5
"Цена акции ао, руб";;185.0;163.5;217.3;176.5;82.7
"Число акций ао, млн";100.0;100.0;111.4;111.4;111.4;111.4
"Free Float, %";;;;;27.0%;27.0%
"Капитализация, млрд руб";0.00;18.5;18.2;24.2;19.7;9.21
"EV, млрд руб";1.01;20.6;21.1;31.7;28.8;20.7
"Баланс стоимость, млрд руб";0.20;2.40;4.85;5.66;7.00;4.33
"EPS, руб";2.20;18.0;7.45;17.4;17.8;-4.70
"FCF/акцию, руб";-10.00;-15.0;-18.1;-31.1;-8.98;-15.9
"BV/акцию, руб";2.00;24.0;43.5;50.8;62.8;38.8
"Рентаб EBITDA, %";47.7%;64.2%;36.2%;41.9%;42.3%;32.1%
"Чистая рентаб, %";25.6%;43.6%;11.9%;18.1%;13.9%;-3.9%
"Доходность FCF, %";;-8.1%;-11.1%;-14.3%;-5.1%;-19.2%
"ROE, %";104.8%;74.7%;17.0%;33.9%;27.3%;-11.2%
"ROA, %";16.5%;35.0%;7.3%;10.7%;9.1%;-2.4%
P/E;0.00;10.3;21.9;12.5;9.90;-17.6
P/FCF;0.00;-12.3;-9.01;-6.99;-19.7;-5.21
P/S;0.00;4.48;2.62;2.26;1.37;0.69
P/BV;0.00;7.71;3.76;4.28;2.81;2.13
EV/EBITDA;2.46;7.78;8.37;7.05;4.76;4.84
Долг/EBITDA;2.46;0.80;1.14;1.68;1.51;2.69
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";149%;77%;54%;61%;36%;31%
"IR рейтинг";;;;;5.0;5.0
"Качество фин.отчетности";;;;;5;5
"Презентации для инвесторов";;;;;5;5
"Присутствие на смартлабе";;;;;5;5
"Годовой отчет";;;;;5;5
"Сайт для инвесторов";;;;;5;5
"Календарь инвесторов";;;;;5;5
"Обратная связь";;;;;5;5
