;2020;2021;2022;2023;2024;LTM
"Дата отчета";17.05.2024;17.05.2024;17.05.2024;17.05.2024;25.03.2025;28.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";23.3;21.0;24.4;35.8;44.0;40.3
"Операционная прибыль, млрд руб";1.86;1.55;3.52;6.87;8.98;6.71
"EBITDA, млрд руб";4.19;3.29;5.16;8.65;11.0;8.99
"Чистая прибыль, млрд руб";-0.450;0.250;2.20;4.34;7.24;5.81
"Операционный денежный поток, млрд руб";0.210;4.00;11.9;12.3;-1.90;0.248
"CAPEX, млрд руб";2.09;2.36;3.13;11.8;13.3;12.7
"FCF, млрд руб";-1.89;1.14;13.2;6.71;-12.3;-10.1
"Див.выплата, млрд руб";;;;0.946;1.66;1.66
"Дивиденд, руб/акцию";;;;0,0018;0,003535;0,003535
"Див доход, ао, %";;;;;2.5%;3.2%
"Дивиденды/прибыль, %";0%;0%;0%;22%;23%;29%
"Опер. расходы, млрд руб";3.03;3.36;3.41;4.62;5.60;5.87
"Себестоимость, млрд руб";16.8;15.7;16.6;22.5;27.7;26.0
"Амортизация, млрд руб";2.3;1.7;1.6;1.8;2.1;2.3
"Расх на персонал, млрд руб";;6.29;6.71;10.3;10.9;11.0
"Процентные расходы, млрд руб";;;0.350;1.69;1.81;2.17
"Активы, млрд руб";40.3;41.5;72.6;92.6;114.1;115.7
"Чистые активы, млрд руб";17.3;16.3;18.3;22.1;39.6;38.7
"Долг, млрд руб";9.56;9.76;16.4;18.6;20.2;20.0
"Наличность, млрд руб";1.83;1.99;3.88;8.35;18.8;14.7
"Чистый долг, млрд руб";7.73;7.77;12.5;10.3;1.40;5.25
"Цена акции ао, руб";;;;;0.144;0.109
"Число акций ао, млн";"394 253";"394 253";"394 253";"402 641";"469 726";"469 726"
"Free Float, %";;;;;11.2%;11.2%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;67.5;51.3
"EV, млрд руб";7.73;7.77;12.5;10.3;68.9;56.5
"Баланс стоимость, млрд руб";15.2;13.5;14.2;15.0;29.0;27.2
"EPS, руб";0.00;0.00;0.01;0.01;0.02;0.01
"FCF/акцию, руб";0.00;0.00;0.03;0.02;-0.03;-0.02
"BV/акцию, руб";0.04;0.03;0.04;0.04;0.06;0.06
"Рентаб EBITDA, %";18.0%;15.7%;21.1%;24.2%;25.0%;22.3%
"Чистая рентаб, %";-1.9%;1.2%;9.0%;12.1%;16.5%;14.4%
"Доходность FCF, %";;;;;-18.2%;-19.8%
"ROE, %";-2.6%;1.5%;12.1%;19.6%;18.3%;15.0%
"ROA, %";-1.1%;0.6%;3.0%;4.7%;6.3%;5.0%
P/E;0.00;0.00;0.00;0.00;9.32;8.83
P/FCF;0.00;0.00;0.00;0.00;-5.48;-5.06
P/S;0.00;0.00;0.00;0.00;1.53;1.27
P/BV;0.00;0.00;0.00;0.00;2.33;1.89
EV/EBITDA;1.84;2.36;2.43;1.18;6.26;6.29
Долг/EBITDA;1.84;2.36;2.43;1.18;0.13;0.58
"Персонал, чел";;"7 001";"7 166";"8 745";"9 436";
"Производительность труда, млн руб/чел/год";;3.00;3.41;4.09;4.66;
"Расходы/чел/год, тыс.р";;898.4;936.4;"1 181";"1 159";
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";9%;11%;13%;33%;30%;32%
