;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;12.09.2019;12.09.2019;12.09.2019;29.06.2018;29.06.2018;29.06.2018;28.05.2018;19.03.2019;13.03.2020;22.03.2021;24.03.2022;17.03.2023;15.03.2024;14.03.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Контракты на продажу м, тыс.м2";;;445;753;"1 019";611;681;640;920;817;826;613;506;"1 099";664;549
"Контракты на продажу руб, млрд руб";;;;;;54.9;70.6;65.3;90.4;84.0;95.0;96.0;93.0;216.0;163.0;145.0
"Новые площади на продажу, тыс.м2";;;;;;874;729;780;888;835;787;919;733;884;650;
"Доля ипотечных сделок, %";;;;;;33.0%;38.0%;47.0%;54.0%;47.0%;64.0%;66.0%;74.0%;75.0%;69.0%;49.0%
"Средняя цена квадратного метра, тыс.руб/м2";;;;;;;104;102;98;112;129;;;;;
"Выручка, млрд руб";;51.9;61.1;60.2;92.3;86.8;106.5;138.5;146.4;110.4;118.1;130.5;139.7;236.2;239.2;250.5
"Операционная прибыль, млрд руб";;;;;;13.8;14.0;22.4;24.8;16.6;22.7;31.7;34.4;62.5;65.8;66.4
"EBITDA, млрд руб";;10.3;12.5;11.7;21.2;18.6;19.3;25.2;36.4;21.0;27.4;35.8;38.6;77.7;72.2;73.9
"Чистая прибыль, млрд руб";;2.43;4.91;3.29;9.20;10.6;9.16;15.9;16.2;7.47;12.0;16.3;13.4;28.4;28.6;21.7
"Операционный денежный поток, млрд руб";;;;;;-8.33;-6.22;-5.74;20.1;12.7;0.236;-56.0;-70.6;29.8;-40.1;-48.9
"CAPEX, млрд руб";;;;;;3.24;2.87;1.41;1.19;0.870;2.30;5.99;5.63;11.5;18.1;21.7
"FCF, млрд руб";;;;;;-8.91;-7.07;-4.86;21.1;12.8;-1.14;-28.2;-44.5;18.0;-55.5;-72.5
"Див.выплата, млрд руб";1.50;2.00;2.00;4.10;8.00;8.04;8.04;8.04;8.00;3.09;6.08;;8.04;10.3;8.03;
"Дивиденд, руб/акцию";15;20;20;40;78;78;78;78;78;30;59;;78;100;78;
"Див доход, ао, %";1.5%;4.4%;3.6%;6.5%;17.0%;11.6%;8.2%;9.4%;13.0%;3.9%;6.8%;0.0%;16.9%;15.4%;9.3%;0.0%
"Дивиденды/прибыль, %";;82%;41%;125%;87%;75%;88%;51%;49%;41%;51%;0%;60%;36%;28%;0
