;2021;2022;2023;2024;LTM
"Дата отчета";28.06.2024;28.06.2024;28.06.2024;23.04.2025;28.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";13.2;13.5;15.8;21.5;27.3
"Операционная прибыль, млрд руб";4.62;5.35;5.60;6.90;8.86
"EBITDA, млрд руб";5.03;5.95;6.28;8.23;10.3
"Чистая прибыль, млрд руб";3.38;3.97;2.97;2.88;4.25
"Операционный денежный поток, млрд руб";2.04;2.96;-1.19;0.093;0.822
"CAPEX, млрд руб";3.24;6.64;4.43;4.06;4.12
"FCF, млрд руб";-1.35;-3.68;-5.71;-4.17;-2.23
"Див доход, ао, %";;;;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0
"Опер. расходы, млрд руб";3.88;4.16;4.41;7.28;9.05
"Себестоимость, млрд руб";4.68;3.96;5.81;7.25;9.28
"Амортизация, млрд руб";0.4;0.6;1.0;1.1;1.1
"Расх на персонал, млрд руб";2.46;3.01;2.93;3.95;5.19
"Процентные расходы, млрд руб";0.400;0.740;1.59;3.24;3.63
"Активы, млрд руб";16.3;25.9;34.8;53.1;57.4
"Чистые активы, млрд руб";7.00;10.3;13.0;19.3;20.7
"Долг, млрд руб";4.67;11.2;16.2;20.5;22.7
"Наличность, млрд руб";0.260;2.14;0.620;4.08;2.60
"Чистый долг, млрд руб";4.41;9.03;15.6;16.4;20.1
"Цена акции ао, руб";;;;355.3;381.5
"Число акций ао, млн";;212.5;200.0;212.5;212.5
"Free Float, %";;;;;7.00%
"Капитализация, млрд руб";0.00;0.00;0.00;75.5;81.1
"EV, млрд руб";4.41;9.03;15.6;91.9;101.2
"Баланс стоимость, млрд руб";5.28;6.65;8.24;13.9;14.8
"EPS, руб";;18.7;14.9;13.5;20.0
"FCF/акцию, руб";;-17.3;-28.6;-19.6;-10.5
"BV/акцию, руб";;31.3;41.2;65.2;69.8
"Рентаб EBITDA, %";38.0%;44.1%;39.7%;38.4%;37.7%
"Чистая рентаб, %";25.5%;29.5%;18.8%;13.4%;15.5%
"Доходность FCF, %";;;;-5.5%;-2.8%
"ROE, %";48.3%;38.4%;22.9%;14.9%;20.5%
"ROA, %";20.7%;15.3%;8.5%;5.4%;7.4%
P/E;0.00;0.00;0.00;26.2;19.1
P/FCF;0.00;0.00;0.00;-18.1;-36.3
P/S;0.00;0.00;0.00;3.52;2.97
P/BV;0.00;0.00;0.00;5.45;5.47
EV/EBITDA;0.88;1.52;2.48;11.2;9.81
Долг/EBITDA;0.88;1.52;2.48;1.99;1.95
"Персонал, чел";;;;"2 215";
"Производительность труда, млн руб/чел/год";;;;9.68;
"Расходы/чел/год, тыс.р";;;;"1 781";
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";24%;49%;28%;19%;15%
