;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;19.05.2020;19.05.2020;14.07.2022;08.06.2018;08.06.2018;11.05.2018;11.05.2018;22.03.2019;16.03.2020;19.03.2021;18.03.2022;14.04.2023;18.03.2024;20.03.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;21.4;22.0;23.1;24.0;24.3;28.9;30.5;31.5;34.1;34.6;34.3;35.2;36.0;36.9;37.8
"Отпуск э/э потребителям из сети, млрд кВт*ч";;;;29.6;28.7;28.3;29.0;29.7;30.6;30.6;29.6;32.3;32.1;32.3;33.6;27.4
"Протяженность ЛЭП, тыс.км";;;;;63.4;64.4;65.8;67.6;69.4;71.0;79.8;80.1;82.0;83.8;85.4;
"Выручка, млрд руб";;;;37.3;41.6;39.0;66.2;77.7;78.0;82.7;82.7;93.5;95.2;108.8;122.7;131.1
"Операционная прибыль, млрд руб";;;;;6.09;5.92;10.4;12.5;16.2;17.2;16.6;20.9;24.5;22.1;22.2;24.3
"EBITDA, млрд руб";;;;10.4;11.1;11.9;23.9;25.4;28.1;30.1;34.9;42.4;46.7;61.3;66.7;67.7
"Чистая прибыль, млрд руб";;-0.943;0.238;3.28;-4.13;0.143;7.70;8.23;10.6;12.0;12.0;15.5;19.9;19.9;21.2;22.6
"Операционный денежный поток, млрд руб";;;;;8.85;13.7;6.42;11.8;23.3;35.5;29.0;39.1;45.0;49.5;60.4;64.2
"CAPEX, млрд руб";;;;18.7;20.1;10.7;20.8;20.0;20.7;25.5;28.8;34.0;29.0;37.2;43.4;53.3
"FCF, млрд руб";-3.31;-5.40;-4.02;-4.03;-11.3;2.94;-12.5;-7.53;1.58;11.6;0.544;5.09;15.5;13.8;21.8;17.1
"Див.выплата, млрд руб";;0.142;0.294;0.092;0.000;0.000;1.85;2.42;1.34;2.07;3.65;4.95;6.08;5.70;6.07;6.07
"Дивиденд, руб/акцию";;0;0,16312;0,0391;0;0;0,1331;0,1366;0,0352;0,0947;0,26;0,3479;0,5023;0,4249;0,4281;0,4281
"Див доход, ао, %";;0.0%;2.5%;1.7%;0.0%;0.0%;2.4%;2.8%;0.7%;1.3%;4.9%;4.2%;5.9%;2.3%;3.1%;3.0%
"Дивиденд ап, руб/акцию";4,08044;1,51979;1,32347;0,4556;0;0;8,107405;13,4682;11,1364;13,6226;15,17;21,2238;19,2737;22,2453;25,9523;25,9523
"Див доход, ап, %";;6.9%;7.5%;4.0%;0.0%;0.0%;17.9%;16.5%;11.8%;11.1%;9.9%;12.5%;16.2%;11.8%;12.1%;10.0%
"Дивиденды/прибыль, %";;0%;124%;3%;0%;0%;24%;29%;13%;17%;30%;32%;31%;29%;29%;27%
"Опер. расходы, млрд руб";;;;31.0;35.5;33.1;48.6;64.6;61.6;61.0;61.6;66.2;69.5;72.9;84.0;89.0
"Амортизация, млрд руб";;;;;;;;;;;;;19.1;20.3;19.6;10.1
"Расх на персонал, млрд руб";;;;4.77;4.99;5.16;6.88;7.67;8.33;9.00;10.1;11.0;12.3;13.9;16.8;8.90
"Процентные расходы, млрд руб";;;;;3.56;4.81;3.40;2.94;2.38;2.40;1.38;1.47;2.27;2.21;2.73;1.30
"Активы, млрд руб";;;;;;239.8;235.2;231.6;205.8;214.5;219.5;235.0;255.1;267.9;299.2;304.8
"Чистые активы, млрд руб";;;;49.4;43.4;140.3;148.1;150.4;129.7;138.2;145.0;154.6;165.8;183.5;199.2;213.7
"Долг, млрд руб";;;;33.4;49.8;41.0;34.5;36.9;34.5;30.7;31.4;32.8;29.5;26.7;28.2;12.7
"Наличность, млрд руб";;;;3.72;1.51;26.1;10.4;3.42;6.36;8.30;1.87;8.07;15.0;23.5;37.9;21.1
"Чистый долг, млрд руб";0.00;0.00;0.00;29.7;48.3;14.8;24.2;33.5;28.2;22.4;29.5;24.7;14.5;3.17;-9.66;-8.41
"Цена акции ао, руб";;9.94;6.55;2.32;1.75;2.28;5.51;4.84;5.30;7.04;5.31;8.34;8.50;18.8;13.7;14.2
"Число акций ао, млн";"8 524";926.0;"1 049";"1 258";"1 644";"1 822";"8 524";"8 524";"8 524";"8 524";"8 524";"8 524";"8 524";"8 524";"8 524";"8 524"
"Цена акции ап, руб";;22.0;17.6;11.4;11.2;11.9;45.4;81.4;94.1;122.3;153.0;169.5;118.8;188.0;214.0;258.6
"Число акций ап, млн";93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3
"Free Float, %";;;;;;;;;;;;;1.04%;;;
"Капитализация, млрд руб";0.00;11.3;8.51;3.98;3.92;5.26;51.2;48.8;54.0;71.4;59.5;86.9;83.5;178.1;136.3;144.8
"EV, млрд руб";0.00;11.3;8.51;33.6;52.2;20.1;75.4;82.3;82.1;93.8;89.1;111.6;98.1;181.3;126.6;136.4
"Баланс стоимость, млрд руб";0.00;0.00;0.00;49.4;43.4;140.3;147.3;149.8;129.1;137.4;144.2;154.0;165.2;182.9;197.9;212.5
"EPS, руб";0.00;-1.02;0.23;2.61;-2.51;0.08;0.90;0.97;1.24;1.40;1.41;1.81;2.33;2.33;2.48;2.65
"FCF/акцию, руб";-0.39;-5.83;-3.83;-3.20;-6.85;1.61;-1.47;-0.88;0.18;1.36;0.06;0.60;1.82;1.62;2.56;2.00
"BV/акцию, руб";0.00;0.00;0.00;39.3;26.4;77.0;17.3;17.6;15.1;16.1;16.9;18.1;19.4;21.5;23.2;24.9
"Рентаб EBITDA, %";;;;27.8%;26.6%;30.6%;36.2%;32.8%;36.0%;36.4%;42.2%;45.3%;49.1%;56.3%;54.3%;51.7%
"Чистая рентаб, %";;;;8.8%;-9.9%;0.4%;11.6%;10.6%;13.6%;14.5%;14.5%;16.5%;20.9%;18.3%;17.2%;17.2%
"Доходность FCF, %";;-58.7%;-58.5%;-138.0%;-391.6%;70.7%;-26.7%;-18.3%;3.5%;19.3%;1.2%;7.2%;21.4%;8.6%;18.7%;14.1%
"ROE, %";;;;6.6%;-9.5%;0.1%;5.2%;5.5%;8.2%;8.7%;8.3%;10.0%;12.0%;10.8%;10.6%;10.6%
"ROA, %";;;;;;0.1%;3.3%;3.6%;5.1%;5.6%;5.5%;6.6%;7.8%;7.4%;7.1%;7.4%
P/E;;-11.9;35.7;1.21;-0.95;36.8;6.65;5.93;5.10;5.97;4.96;5.62;4.21;8.96;6.44;6.42
P/FCF;0.00;-2.08;-2.12;-0.99;-0.35;1.79;-4.09;-6.48;34.2;6.17;109.4;17.1;5.39;12.9;6.26;8.49
P/S;;;;0.11;0.09;0.13;0.77;0.63;0.69;0.86;0.72;0.93;0.88;1.64;1.11;1.11
P/BV;;;;0.08;0.09;0.04;0.35;0.33;0.42;0.52;0.41;0.56;0.51;0.97;0.69;0.68
EV/EBITDA;;;;3.25;4.72;1.68;3.15;3.24;2.92;3.12;2.55;2.63;2.10;2.96;1.90;2.01
Долг/EBITDA;;;;2.86;4.37;1.24;1.01;1.32;1.00;0.74;0.85;0.58;0.31;0.05;-0.14;-0.12
"Персонал, чел";;;;"6 181";"6 185";"6 003";"6 217";"6 873";;;"8 516";"7 923";"7 935";"8 034";"8 135";
"Производительность труда, млн руб/чел/год";;;;6.04;6.73;6.50;10.6;11.3;;;9.71;11.8;12.0;13.5;15.1;
"Расходы/чел/год, тыс.р";;;;772.4;806.5;858.9;"1 106";"1 116";;;"1 188";"1 388";"1 554";"1 731";"2 068";
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"Цена/мощность, руб/кВт";;525.2;387.6;"1 459";"2 179";826.0;"2 609";"2 702";"2 607";"2 753";"2 571";"3 253";"2 784";"5 031";"3 431";"3 608"
"CAPEX/Выручка, %";;;;50%;48%;27%;31%;26%;27%;31%;35%;36%;30%;34%;35%;41%
