;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;08.07.2018;08.07.2018;30.06.2018;30.06.2018;25.04.2018;20.03.2019;11.03.2020;10.03.2021;21.03.2022;22.03.2023;18.03.2024;18.03.2025;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;;;51.3;52.0;53.7;54.2;54.5;54.0;54.6;54.9;55.9;55.0;55.4;56.1;
"Отпуск э/э потребителям из сети, млрд кВт*ч";;56.7;57.9;57.8;57.0;56.7;58.1;53.4;48.5;47.7;46.8;49.2;48.8;47.3;48.4;
"Протяженность ЛЭП, тыс.км";;371.7;385.3;388.5;393.4;399.7;403.3;415.8;392.9;395.1;397.1;400.8;413.9;415.9;417.7;
"Выручка, млрд руб";;;;93.3;87.0;80.8;86.3;91.1;93.9;94.6;97.6;108.1;114.6;128.5;138.2;144.0
"Операционная прибыль, млрд руб";;;;;;7.07;9.25;9.18;7.38;8.12;5.03;10.1;11.9;13.8;17.6;20.4
"EBITDA, млрд руб";;;;11.5;16.0;14.8;17.9;19.0;17.2;18.9;22.0;23.0;24.7;24.8;31.2;34.2
"Чистая прибыль, млрд руб";;;;-0.057;-2.79;0.852;4.24;2.98;2.94;3.08;2.05;4.37;4.91;7.92;6.56;7.94
"Операционный денежный поток, млрд руб";;;;;;;;14.2;14.4;12.0;12.7;21.0;23.9;24.1;26.9;28.6
"CAPEX, млрд руб";;;;;;13.6;13.1;12.3;13.1;12.0;13.6;16.0;14.5;20.1;24.3;27.1
"FCF, млрд руб";;;;;;;;2.40;1.42;-1.33;-1.15;3.83;9.36;3.25;3.27;1.71
"Див.выплата, млрд руб";0.611;0.422;0.863;0.076;0.832;0.456;1.87;0.879;0.876;0.840;1.41;1.43;1.91;2.80;2.85;2.85
"Дивиденд, руб/акцию";0,01447;0,01;0,02044;0,0018;0,0197;0,0108;0,044215195;0,0208;0,021;0,02;0,0335;0,0338;0,04521;0,06621;0,067638;0,067638
"Див доход, ао, %";;;;;7.6%;5.5%;9.9%;5.8%;7.4%;6.3%;8.3%;8.1%;14.2%;11.8%;14.2%;8.6%
"Дивиденды/прибыль, %";;;;0%;0%;54%;44%;30%;30%;27%;69%;33%;39%;35%;43%;36%
"Опер. расходы, млрд руб";;;;91.2;88.9;75.2;78.8;83.1;87.9;88.5;89.4;97.8;104.6;115.4;122.7;125.2
"Амортизация, млрд руб";;;;;;7.8;8.7;9.4;9.9;11.0;11.7;12.5;12.6;12.4;12.6;13.1
"Расх на персонал, млрд руб";;;;;;17.2;17.1;18.8;19.3;19.4;21.6;23.2;24.4;28.5;31.9;34.6
"Процентные расходы, млрд руб";;;;;;4.43;4.64;4.34;3.35;3.56;2.78;2.80;3.82;3.97;6.54;6.71
"Активы, млрд руб";;;;;;100.4;107.0;105.1;108.1;118.4;122.0;130.3;139.8;148.8;158.9;161.3
"Чистые активы, млрд руб";;;;41.7;38.8;38.9;43.3;44.0;44.6;45.1;46.9;50.2;52.4;60.2;64.8;67.2
"Долг, млрд руб";14.9;21.2;26.5;33.1;37.3;42.1;43.3;41.5;40.4;46.5;47.4;49.0;46.1;45.4;44.3;43.1
"Наличность, млрд руб";0.260;2.65;0.980;1.12;0.396;0.100;2.60;1.36;1.36;2.27;2.38;3.38;9.05;10.4;8.10;7.08
"Чистый долг, млрд руб";14.7;18.6;25.5;32.0;36.9;42.0;40.7;40.1;39.0;44.2;45.0;45.6;37.0;35.0;36.2;36.0
"Цена акции ао, руб";;;;;0.260;0.195;0.447;0.356;0.286;0.317;0.402;0.415;0.319;0.562;0.478;0.788
"Число акций ао, млн";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218";"42 218"
"Free Float, %";;;;;;;;;;;;;;;33.0%;33.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;11.0;8.23;18.9;15.0;12.1;13.4;17.0;17.5;13.5;23.7;20.2;33.3
"EV, млрд руб";14.7;18.6;25.5;32.0;47.9;50.2;59.6;55.1;51.1;57.6;62.0;63.1;50.5;58.7;56.4;69.2
"Баланс стоимость, млрд руб";0.00;0.00;0.00;41.7;38.8;37.1;41.0;41.6;41.8;42.6;44.6;47.9;50.0;57.0;62.2;64.5
"EPS, руб";0.00;0.00;0.00;0.00;-0.07;0.02;0.10;0.07;0.07;0.07;0.05;0.10;0.12;0.19;0.16;0.19
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.03;-0.03;-0.03;0.09;0.22;0.08;0.08;0.04
"BV/акцию, руб";0.00;0.00;0.00;0.99;0.92;0.88;0.97;0.98;0.99;1.01;1.06;1.13;1.18;1.35;1.47;1.53
"Рентаб EBITDA, %";;;;12.4%;18.4%;18.3%;20.7%;20.9%;18.3%;20.0%;22.5%;21.3%;21.5%;19.3%;22.6%;23.7%
"Чистая рентаб, %";;;;-0.1%;-3.2%;1.1%;4.9%;3.3%;3.1%;3.3%;2.1%;4.0%;4.3%;6.2%;4.7%;5.5%
"Доходность FCF, %";;;;;0.0%;0.0%;0.0%;16.0%;11.8%;-9.9%;-6.8%;21.9%;69.5%;13.7%;16.2%;5.1%
"ROE, %";;;;-0.1%;-7.2%;2.2%;9.8%;6.8%;6.6%;6.8%;4.4%;8.7%;9.4%;13.2%;10.1%;11.8%
"ROA, %";;;;;;0.8%;4.0%;2.8%;2.7%;2.6%;1.7%;3.4%;3.5%;5.3%;4.1%;4.9%
P/E;;;;0.00;-3.94;9.66;4.45;5.05;4.11;4.34;8.28;4.01;2.74;3.00;3.07;4.19
P/FCF;;;;;;;;6.26;8.49;-10.1;-14.8;4.57;1.44;7.31;6.17;19.5
P/S;;;;0.00;0.13;0.10;0.22;0.16;0.13;0.14;0.17;0.16;0.12;0.18;0.15;0.23
P/BV;;;;0.00;0.28;0.22;0.46;0.36;0.29;0.31;0.38;0.37;0.27;0.42;0.32;0.52
EV/EBITDA;;;;2.77;2.99;3.39;3.33;2.90;2.97;3.04;2.82;2.75;2.05;2.37;1.81;2.02
Долг/EBITDA;;;;2.77;2.31;2.84;2.27;2.11;2.27;2.34;2.05;1.98;1.50;1.41;1.16;1.05
"Персонал, чел";;;;;;;;"29 531";"30 486";"29 353";"28 693";"27 833";"27 428";"27 305";"26 358";
"Производительность труда, млн руб/чел/год";;;;;;;;3.09;3.08;3.22;3.40;3.88;4.18;4.70;5.24;
"Расходы/чел/год, тыс.р";;;;;;;;638.2;631.8;661.5;752.8;833.5;887.8;"1 045";"1 210";
"R&D/CAPEX, %";;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"Цена/мощность, руб/кВт";;;;623.7;920.3;935.9;"1 099";"1 012";945.9;"1 055";"1 130";"1 130";917.7;"1 060";"1 005";
"CAPEX/Выручка, %";;;;0%;0%;17%;15%;13%;14%;13%;14%;15%;13%;16%;18%;19%
