;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;08.07.2018;08.07.2018;28.04.2018;30.06.2018;27.04.2018;19.03.2019;12.03.2020;11.03.2021;21.03.2022;22.03.2023;18.03.2024;18.03.2025;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Отпуск э/э потребителям из сети, млрд кВт*ч";;;;;;;;50.4;54.0;53.6;51.2;53.8;53.8;54.5;55.8;
"Протяженность ЛЭП, тыс.км";;;;;;;;271.2;275.1;;289.0;292.0;289.2;291.4;294.8;
"Трансформаторная мощность, ГВт";;;;;;;;42.1;;;44.8;45.7;45.7;46.4;47.2;
"Выручка, млрд руб";;;;77.6;69.8;69.2;78.4;91.0;94.2;96.5;96.7;106.7;114.0;132.0;143.6;151.9
"Операционная прибыль, млрд руб";;;;;;;7.41;17.0;17.1;10.7;11.7;16.5;16.6;21.1;21.7;25.4
"EBITDA, млрд руб";;;;9.70;6.91;12.5;13.4;23.4;24.1;18.4;18.6;24.5;27.9;34.8;42.3;46.5
"Чистая прибыль, млрд руб";;;;1.75;-1.63;3.41;3.61;11.4;11.7;6.69;6.40;9.95;11.0;14.0;16.4;17.6
"Операционный денежный поток, млрд руб";;;;;;;;13.5;20.1;10.6;13.9;19.7;28.9;35.5;34.4;31.3
"CAPEX, млрд руб";;;;;;5.25;7.58;9.91;13.1;13.0;12.2;17.5;17.9;27.1;25.5;26.9
"FCF, млрд руб";;;;;;;;3.79;7.08;-2.22;1.79;1.87;10.8;8.68;11.3;8.08
"Див.выплата, млрд руб";;0.316;0.479;0.634;0.349;0.943;1.81;4.54;4.50;1.84;2.92;3.14;3.63;4.38;5.65;5.65
"Дивиденд, руб/акцию";;0,0028;0,00425;0,00563;0,0031;0,00836;0,011793;0,040247;0,04;0,0163239;0,0259;0,02782;0,03219;0,03883;0,050215;0,050215
"Див доход, ао, %";;1.6%;2.4%;8.3%;3.2%;13.3%;8.0%;13.3%;15.1%;6.8%;10.2%;12.1%;13.0%;12.5%;14.5%;10.4%
"Дивиденды/прибыль, %";;;;36%;0%;28%;50%;40%;38%;28%;46%;32%;33%;31%;34%;32%
"Опер. расходы, млрд руб";;;;73.6;69.2;62.9;71.7;75.6;78.3;87.3;86.6;91.9;98.4;112.5;122.5;126.9
"Амортизация, млрд руб";;;;;;5.7;6.0;6.7;7.0;7.7;8.5;9.6;10.7;12.0;13.2;13.9
"Расх на персонал, млрд руб";;;;;;14.8;15.9;17.1;15.1;17.8;18.3;19.1;20.1;23.0;25.7;27.9
