;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";30.07.2021;30.07.2021;30.07.2021;07.04.2022;16.05.2023;25.04.2024;28.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";0.630;0.715;3.30;7.60;7.74;7.24;3.95;4.21
"Операционная прибыль, млрд руб";;;2.33;5.26;5.97;4.74;3.08;3.37
"EBITDA, млрд руб";-0.027;0.006;1.65;0.998;2.90;5.26;3.64;3.93
"Чистая прибыль, млрд руб";-0.038;-0.006;1.27;2.58;1.50;0.583;1.01;0.594
"Чистая прибыль н/с, млрд руб";;;1.20;0.187;;;;
"Операционный денежный поток, млрд руб";;;9.47;-0.268;-7.07;5.81;-15.4;1.14
"CAPEX, млрд руб";;;0.287;0.152;;0.377;0.324;0.354
"FCF, млрд руб";;;9.18;-0.430;;5.17;-15.7;0.778
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";0.336;0.355;0.965;2.35;4.12;3.47;2.94;3.10
"Амортизация, млрд руб";;;;;;0.5;0.6;0.6
"Расх на персонал, млрд руб";;;0.510;1.39;1.93;1.54;1.54;1.58
"Процентные расходы, млрд руб";;;0.056;0.077;0.551;0.661;0.465;0.257
"Активы, млрд руб";5.18;7.89;18.3;42.3;74.9;112.9;90.2;80.6
"Чистые активы, млрд руб";;;3.04;17.6;20.0;20.2;20.6;21.1
"Наличность, млрд руб";;;11.1;20.3;32.9;30.5;14.6;15.9
"Чистый долг, млрд руб";0.00;0.00;-11.1;-20.3;-32.9;-30.5;-14.6;-15.9
"Цена акции ао, руб";;;;987.1;115.2;77.3;128.0;221.1
"Число акций ао, млн";;;;132.8;132.8;132.8;132.8;132.8
"Капитализация, млрд руб";0.00;0.00;0.00;131.1;15.3;10.3;17.0;29.4
"EV, млрд руб";0.00;0.00;-11.1;110.8;-17.6;-20.2;2.44;13.5
"Баланс стоимость, млрд руб";0.00;0.00;2.45;17.0;19.2;19.1;19.4;19.9
"EPS, руб";;;;19.4;11.3;4.39;7.59;4.47
"FCF/акцию, руб";;;;-3.24;0.00;38.9;-118.0;5.86
"BV/акцию, руб";;;;127.6;144.8;143.5;146.2;149.6
"Рентаб EBITDA, %";-4.3%;0.8%;50.1%;13.1%;37.5%;72.7%;92.2%;93.4%
"Чистая рентаб, %";-6.0%;-0.8%;38.5%;33.9%;19.4%;8.1%;25.5%;14.1%
"Доходность FCF, %";;;;-0.3%;0.0%;50.3%;-92.2%;2.6%
"ROE, %";;;41.8%;14.7%;7.5%;2.9%;4.9%;2.8%
"ROA, %";-0.7%;-0.1%;6.9%;6.1%;2.0%;0.5%;1.1%;0.7%
P/E;0.00;0.00;0.00;50.9;10.2;17.6;16.9;49.4
P/FCF;;;0.00;-305.0;;1.99;-1.09;37.8
P/S;0.00;0.00;0.00;17.2;1.98;1.42;4.30;6.98
P/BV;;;0.00;7.73;0.80;0.54;0.88;1.48
EV/EBITDA;0.00;0.00;-6.72;111.0;-6.07;-3.84;0.67;3.43
Долг/EBITDA;0.00;0.00;-6.72;-20.4;-11.3;-5.79;-4.00;-4.04
"Персонал, чел";117;141;200;;;;;
"Производительность труда, млн руб/чел/год";5.38;5.07;16.5;;;;;
"Расходы/чел/год, тыс.р";0.00;0.00;"2 550";;;;;
"R&D/CAPEX, %";;;0.00%;0.00%;;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;9%;2%;0%;5%;8%;8%
