;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;01.12.2023;01.12.2023;15.03.2024;14.03.2025;15.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;;123.2;67.7;203.8;211.5;204.4
"Чист. проц. доходы, млрд руб";;;;84.5;49.1;106.4;84.2;111.7
"Чист. комисс. доход, млрд руб";;;;35.5;24.8;26.8;39.5;44.2
"Доходы по цб, млрд руб";;;;;-36.5;50.2;16.6;19.6
"Чистая прибыль, млрд руб";;;;50.4;-14.6;94.1;75.6;53.9
"Чистая прибыль н/с, млрд руб";;;;49.3;-29.3;;;
"Див.выплата, млрд руб";;;;;0.000;28.5;7.86;7.86
"Дивиденд, руб/акцию";;;;;0;1,39;0,35;0,35
"Див доход, ао, %";;;;0.0%;0.0%;10.1%;2.5%;2.9%
"Дивиденды/прибыль, %";;;;0%;0%;30%;10%;15%
"Опер. расходы, млрд руб";;;;64.8;75.8;94.1;131.8;150.0
"Амортизация, млрд руб";;;;;5.4;6.1;9.7;
"Расх на персонал, млрд руб";;;;37.2;43.1;53.1;75.2;85.0
"Процентные расходы, млрд руб";;;;;;;;543.8
"Создание резервов, млрд руб";;;;;;;;73.3
"Списание. плох.кредитов, млрд руб";;;;;53.9;32.5;74.0;
"Наличность, млрд руб";;;;;152.6;626.0;539.0;380.7
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;-152.6;-626.0;-539.0;-380.7
"Активы банка, млрд руб";;;;;"2 185";"3 189";"4 046";"3 918"
"Капитал, млрд руб";;;;242.0;200.8;297.1;371.4;374.9
"Кредитный портфель, млрд руб";;;;"1 177";"1 387";"1 895";"2 780";"2 831"
"Кредиты юрлицам, млрд руб";;;;;840.7;"1 136";"1 428";"1 440"
"Кредиты физлицам, млрд руб";;;;;626.7;837.9;"1 352";"1 391"
"Депозиты, млрд руб";;;;"1 419";"1 688";"2 500";"3 041";"2 901"
"Депозиты юрлиц, млрд руб";;;;;966.2;"1 670";"1 854";"1 617"
"Депозиты физлиц, млрд руб";;;;;721.4;833.0;"1 188";"1 284"
"Резервы под обесценивание, млрд руб";;;;;11.1;;118.1;136.8
"Дост.осн капитала, %";;;;;;9.10%;8.30%;
"Дост. общ капитала, %";;;;;;11.2%;10.1%;
"Стоимость риска, %";;;;;;1.80%;2.60%;2.47%
"Расходы/Доходы (CIR), %";;;;;;51.0%;55.0%;
"Loan-to-deposit ratio, %";;;;83%;82%;76%;91%;98%
"Цена акции ао, руб";;;;11.5;11.5;13.7;14.2;12.1
"Число акций ао, млн";;;;"19 694";"19 694";"20 694";"22 516";"22 516"
"Free Float, %";;;;;;4.70%;14.2%;15.0%
"Капитализация, млрд руб";0.00;0.00;0.00;226.5;226.5;283.5;320.1;272.6
"EV, млрд руб";0.00;0.00;0.00;226.5;73.9;-342.5;-218.9;-108.1
"EPS, руб";;;;2.56;-0.74;4.55;3.36;2.39
"ROE, %";;;;;;45.0%;26.0%;
"Чистая процентная маржа, %";6.70%;6.40%;6.40%;7.50%;5.90%;6.50%;5.40%;5.10%
"Рентабельность банка, %";;;;40.9%;-21.6%;46.2%;35.7%;26.4%
P/E;;;;4.49;-15.5;3.01;4.23;5.06
P/B;;;;0.94;1.13;0.95;0.86;0.73
"Персонал, чел";;;;;"25 666";"28 944";"35 996";"35 976"
"Производительность труда, млн руб/чел/год";;;;;2.64;7.04;5.88;5.68
"Расходы/чел/год, тыс.р";;;;;"1 678";"1 835";"2 089";"2 363"
"IR рейтинг";;;;;;3.3;3.3;3.3
"Качество фин.отчетности";;;;;;5;5;5
"Презентации для инвесторов";;;;;;1;1;1
"Присутствие на смартлабе";;;;;;3;3;3
"Годовой отчет";;;;;;5;5;5
"Сайт для инвесторов";;;;;;3;3;3
"Календарь инвесторов";;;;;;1;1;1
"Обратная связь";;;;;;5;5;5
