;2021;2022;2023;2024;LTM
"Дата отчета";20.05.2025;20.05.2025;20.05.2025;20.05.2025;28.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";"4 880";"5 627";"6 368";"7 117";"7 417"
"Открыто новых магазинов, шт";727;747;741;749;740
"Общ. площадь магазинов, тыс. м2";"1 052";"1 218";"1 380";"1 539";"1 605"
"Сопоставимые продажи, LFL, %";8.2%;12.2%;-5.4%;0.8%;0.7%
"Трафик, %";3.6%;-2.0%;-7.3%;-3.3%;-5.5%
"Средний чек, %";4.4%;14.4%;2.1%;4.2%;6.6%
"Выручка, млрд руб";225.6;271.6;280.9;300.3;306.7
"Операционная прибыль, млрд руб";29.2;38.0;32.9;29.4;25.2
"EBITDA, млрд руб";41.6;51.5;49.1;46.1;42.6
"Чистая прибыль, млрд руб";20.3;19.6;29.9;21.4;16.4
"Операционный денежный поток, млрд руб";23.2;32.2;35.2;29.5;28.8
"CAPEX, млрд руб";5.51;11.5;5.73;8.27;10.4
"FCF, млрд руб";8.86;11.8;19.3;10.3;6.91
"Див.выплата, млрд руб";;;8.40;;30.0
"Дивиденд, руб/акцию";;;9,84;;35,3137
"Див доход, ао, %";0.0%;0.0%;3.5%;0.0%;"6 217.2%"
"Дивиденды/прибыль, %";0%;0%;28%;0%;183%
"Опер. расходы, млрд руб";40.3;49.8;58.3;66.0;72.4
"Себестоимость, млрд руб";156.7;184.8;190.4;205.5;209.8
"Амортизация, млрд руб";12.4;13.5;15.1;16.5;17.5
"Расх на персонал, млрд руб";19.4;26.2;32.3;38.1;43.3
"Процентные расходы, млрд руб";1.78;3.03;2.85;4.44;5.51
"Активы, млрд руб";90.3;117.5;134.9;123.6;123.5
"Чистые активы, млрд руб";17.5;36.7;66.0;49.7;53.5
"Долг, млрд руб";21.5;22.2;15.0;18.3;12.3
"Наличность, млрд руб";7.34;18.9;30.7;6.49;2.53
"Чистый долг, млрд руб";14.2;3.29;-15.7;11.8;9.80
"Цена акции ао, руб";543.1;337.1;281.7;0.001;0.568
"Число акций ао, млн";850.0;850.0;850.0;"100 000";"100 000"
"Капитализация, млрд руб";461.6;286.5;239.4;0.10;56.8
"EV, млрд руб";475.8;289.8;223.8;11.9;66.6
"Баланс стоимость, млрд руб";4.83;25.1;55.5;40.2;44.4
"EPS, руб";23.8;23.1;35.1;0.21;0.16
"FCF/акцию, руб";10.4;13.8;22.7;0.10;0.07
"BV/акцию, руб";5.68;29.5;65.3;0.40;0.44
"Рентаб EBITDA, %";18.4%;19.0%;17.5%;15.4%;13.9%
"Чистая рентаб, %";9.0%;7.2%;10.6%;7.1%;5.4%
"Доходность FCF, %";1.9%;4.1%;8.1%;"10 330.0%";12.2%
"ROE, %";115.6%;53.5%;45.2%;43.1%;30.7%
"ROA, %";22.5%;16.7%;22.1%;17.3%;13.3%
P/E;22.8;14.6;8.02;0.00;3.46
P/FCF;52.1;24.4;12.4;0.01;8.22
P/S;2.05;1.05;0.85;0.00;0.19
P/BV;95.6;11.4;4.31;0.00;1.28
EV/EBITDA;11.4;5.63;4.56;0.26;1.56
Долг/EBITDA;0.34;0.06;-0.32;0.26;0.23
"Персонал, чел";"30 540";"35 875";"38 050";"40 766";
"Производительность труда, млн руб/чел/год";7.39;7.57;7.38;7.37;
"Расходы/чел/год, тыс.р";635.6;729.8;848.1;933.4;
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";2%;4%;2%;3%;3%
"IR рейтинг";3.1;3.1;3.1;3.1;3.1
"Качество фин.отчетности";4;4;4;4;4
"Презентации для инвесторов";3;3;3;3;3
"Присутствие на смартлабе";1;1;1;1;1
"Годовой отчет";1;1;1;1;1
"Сайт для инвесторов";4;4;4;4;4
"Календарь инвесторов";4;4;4;4;4
"Обратная связь";5;5;5;5;5
