;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;10.07.2018;01.07.2018;01.07.2018;01.07.2018;11.05.2018;12.03.2019;10.03.2020;04.03.2021;22.02.2022;17.02.2023;19.02.2024;06.03.2025;07.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;;;10.3;10.3;10.3;11.2;11.2;11.2;11.2;11.2;11.2;11.3;11.3;11.3;
"Выработка электроэнергии, ТВт*ч";;;;63.0;59.2;53.8;54.5;48.2;46.6;46.4;41.7;45.2;54.0;56.5;56.7;58.7
"Отпуск э/э потребителям из сети, млрд кВт*ч";;;;60.8;57.2;51.6;52.5;46.4;44.8;44.6;40.1;43.3;51.7;54.2;54.3;56.2
"Отпуск тепл.энергии, млн Гкал";;;;2.15;2.21;1.66;1.75;1.77;1.86;1.73;1.53;1.73;1.69;1.62;1.98;1.83
"КИУМ, %";;;;69.5%;65.4%;58.0%;55.4%;49.0%;47.4%;47.2%;42.3%;45.9%;54.7%;57.2%;57.2%;
"Выручка, млрд руб";;;;78.8;77.7;76.7;78.0;76.5;77.8;80.3;75.3;88.1;105.8;118.6;128.3;129.4
"Операционная прибыль, млрд руб";;;;15.7;19.0;16.7;6.72;41.2;19.9;22.5;16.8;10.0;25.2;23.5;27.7;23.1
"EBITDA, млрд руб";;;;29.1;26.2;24.9;17.7;47.5;27.9;29.6;26.4;29.9;42.0;44.3;49.1;22.8
"Чистая прибыль, млрд руб";;;;17.2;17.1;14.4;8.61;34.5;18.0;19.7;16.4;17.9;21.3;22.0;31.9;31.1
"Чистая прибыль н/с, млрд руб";;;;14.8;18.1;13.7;4.14;33.4;16.7;18.4;13.8;8.23;21.3;22.0;31.9;10.2
"Операционный денежный поток, млрд руб";;;;23.9;23.4;22.4;23.5;33.5;25.5;23.4;21.0;26.3;34.6;31.4;35.8;15.5
"CAPEX, млрд руб";;;;15.2;17.7;12.2;13.7;14.7;13.9;14.4;10.00;11.2;5.90;14.2;13.2;8.52
"FCF, млрд руб";;;;8.77;5.71;10.3;9.87;18.8;11.6;8.98;12.1;16.5;29.4;21.0;32.3;12.9
"Див.выплата, млрд руб";;3.65;18.3;23.9;17.5;12.4;5.91;15.1;14.0;14.0;15.0;12.0;0.000;0.000;;
"Дивиденд, руб/акцию";;0,05787978807;0,2895;0,49744;0,27764;0,19725;0,0937;0,239;0,222;0,222;0,238;0,19;0;0;;
"Див доход, ао, %";0.0%;2.7%;11.0%;21.1%;12.2%;6.2%;3.3%;9.5%;8.5%;8.0%;8.5%;7.3%;0.0%;0.0%;0.0%;0.0%
