;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;27.06.2018;27.06.2018;27.06.2018;27.06.2018;23.05.2018;14.02.2019;19.02.2020;12.02.2021;11.02.2022;;19.02.2024;21.03.2025;21.03.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;16.1;17.8;19.9;21.4;20.6;18.9;18.7;12.9;13.8;;;;
"Переработка нефти, млн т";;;;21.4;21.7;19.1;18.3;18.9;16.9;17.3;15.5;16.1;;;;
"Добыча газа, млрд м3";;1.000;;;;;;;;;;;;;;
"Выручка, млрд руб";;;;563.3;637.3;611.3;593.1;671.0;860.2;854.6;532.6;851.7;;"1 032";"1 143";"1 143"
"Операционная прибыль, млрд руб";;;;;77.0;93.4;85.8;98.1;119.2;116.6;-11.2;114.2;;194.2;137.2;137.2
"EBITDA, млрд руб";;;;103.9;100.8;126.9;131.6;151.8;175.5;166.7;32.2;157.2;;243.6;188.6;188.6
"Чистая прибыль, млрд руб";;;;46.2;43.1;58.2;52.7;143.0;98.4;76.6;-11.1;83.3;;177.4;104.7;104.7
"Операционный денежный поток, млрд руб";;;;;106.1;92.3;115.8;103.3;131.9;86.6;64.0;68.7;;150.6;163.0;163.0
"CAPEX, млрд руб";;;;30.4;49.3;63.1;83.3;64.5;52.0;62.2;67.0;64.2;;65.5;74.1;74.1
"FCF, млрд руб";;;;;56.8;29.2;32.5;39.0;80.0;24.3;-3.03;4.54;;;;31.2
"Див.выплата, млрд руб";48.3;20.3;5.32;82.7;20.1;29.1;0.003;54.6;28.2;19.2;0.003;20.8;36.0;44.4;26.2;26.2
"Дивиденд, руб/акцию";235,77;99;24;410;113;164;0;307,26;158,95;107,81;0;117,29;199,89;249,69;147,31;147,31
"Див доход, ао, %";;;;;9.1%;8.2%;0.0%;13.5%;8.5%;5.6%;0.0%;8.6%;21.2%;11.4%;5.7%;10.4%
"Дивиденд ап, руб/акцию";235,77;99;24;410;113;164;0,1;307,26;158,95;107,81;0,1;117,29;199,89;249,69;147,31;147,31
"Див доход, ап, %";;;;;12.1%;9.6%;0.0%;22.7%;8.9%;6.3%;0.0%;11.8%;29.4%;14.4%;11.2%;16.1%
"Дивиденды/прибыль, %";;;;179%;47%;50%;0%;38%;29%;25%;0%;25%;;25%;25%;25%
"Опер. расходы, млрд руб";;49.9;53.4;59.9;70.8;81.0;92.2;87.3;93.3;106.1;101.2;96.1;;120.6;153.5;153.5
"Себестоимость, млрд руб";;360.6;398.5;422.0;489.4;436.9;418.7;485.6;646.0;632.0;442.6;641.4;;838.0;"1 006";
"Амортизация, млрд руб";;;;;;;;;;;;;;49.4;51.4;51.4
"Расх на персонал, млрд руб";;;;;29.9;38.1;39.8;31.6;35.3;38.9;41.0;43.3;;;;
"Процентные расходы, млрд руб";;;;;13.1;16.3;13.2;9.94;10.3;10.5;9.70;7.78;;;;
"Активы, млрд руб";;437.0;463.5;447.8;523.7;520.1;584.2;730.4;751.9;811.3;787.7;916.1;;"1 127";"1 163";"1 163"
