;2020;2021;2022;2023;2024;LTM
"Дата отчета";;09.10.2023;09.10.2023;02.04.2024;03.04.2025;28.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;2.16;5.39;9.54;17.2;18.9
"Операционная прибыль, млрд руб";;1.03;2.80;4.09;5.52;5.38
"EBITDA, млрд руб";;;3.00;4.38;7.00;7.23
"Чистая прибыль, млрд руб";;1.08;2.48;3.54;5.82;5.11
"EBITDAC, млрд руб";;;2.25;2.81;4.19;4.06
"NIC, млрд руб";;;2.63;3.31;4.87;4.13
"Операционный денежный поток, млрд руб";;0.830;1.86;3.45;5.40;5.07
"CAPEX, млрд руб";;0.294;0.640;1.30;4.02;4.04
"FCF, млрд руб";;0.036;1.09;2.15;1.35;0.477
"Див.выплата, млрд руб";;;;;2.87;1.21
"Дивиденд, руб/акцию";;;;;13,68;5,79
"Див доход, ао, %";;;0.0%;0.0%;2.9%;1.9%
"Дивиденды/прибыль, %";;0%;0%;0%;49%;24%
"Опер. расходы, млрд руб";;0.693;1.68;2.87;5.67;6.02
"Себестоимость, млрд руб";;0.434;0.922;2.58;6.02;7.45
"Амортизация, млрд руб";;0.1;0.2;0.3;1.3;1.8
"НИОКР, млрд руб";;0.037;0.049;0.168;0.226;0.275
"Расх на персонал, млрд руб";;;1.96;3.85;7.88;8.98
"Процентные расходы, млрд руб";;;0.040;0.040;0.110;0.330
"Активы, млрд руб";1.16;2.15;6.10;12.4;19.2;16.6
"Чистые активы, млрд руб";0.123;0.125;1.46;4.23;7.48;7.28
"Долг, млрд руб";0.330;0.300;0.610;2.74;2.94;2.61
"Наличность, млрд руб";0.220;0.120;0.700;2.64;1.36;0.954
"Чистый долг, млрд руб";0.11;0.18;-0.09;0.10;1.58;1.65
"Цена акции ао, руб";;;333.0;500.2;472.7;304.2
"Число акций ао, млн";;;210.0;210.0;210.0;210.0
"Free Float, %";;;;5.00%;15.0%;15.0%
"Капитализация, млрд руб";0.00;0.00;69.9;105.0;99.3;63.9
"EV, млрд руб";0.11;0.18;69.8;105.1;100.8;65.5
"Баланс стоимость, млрд руб";-0.10;-0.26;0.53;1.41;1.97;1.18
"EPS, руб";;;11.8;16.9;27.7;24.3
"FCF/акцию, руб";;;5.19;10.2;6.43;2.27
"BV/акцию, руб";;;2.52;6.71;9.38;5.61
"Рентаб EBITDA, %";;0.0%;55.7%;45.9%;40.7%;38.2%
"Чистая рентаб, %";;50.0%;46.0%;37.1%;33.8%;27.0%
"Доходность FCF, %";;;1.6%;2.0%;1.4%;0.7%
"ROE, %";0.0%;864.0%;169.9%;83.7%;77.8%;70.1%
"ROA, %";0.0%;50.2%;40.7%;28.7%;30.4%;30.9%
P/E;;0.00;28.2;29.7;17.1;12.5
P/FCF;;0.00;64.2;48.9;73.5;133.9
P/S;;0.00;13.0;11.0;5.77;3.38
P/BV;0.00;0.00;131.9;74.5;50.4;54.2
EV/EBITDA;;;23.3;24.0;14.4;9.06
Долг/EBITDA;;;-0.03;0.02;0.23;0.23
"Персонал, чел";;;860;"2 275";"2 803";"2 942"
"Производительность труда, млн руб/чел/год";;;6.27;4.19;6.14;6.43
"Расходы/чел/год, тыс.р";;;"2 274";"1 694";"2 811";"3 052"
"R&D/CAPEX, %";;12.59%;7.66%;12.92%;5.62%;6.81%
"CAPEX/Выручка, %";;14%;12%;14%;23%;21%
