;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;07.07.2018;07.07.2018;28.06.2018;28.06.2018;07.07.2018;18.10.2019;18.10.2019;25.05.2020;30.04.2021;04.04.2022;24.04.2023;24.04.2024;09.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";30.2;37.2;36.3;42.8;41.6;37.0;43.7;57.0;56.7;62.2;113.7;162.6;172.0;185.0;194.3
"Операционная прибыль, млрд руб";;;;;;2.43;8.40;8.33;8.30;8.00;43.4;50.9;38.4;36.3;41.7
"EBITDA, млрд руб";6.18;7.70;6.17;6.82;6.62;5.11;10.6;10.8;11.9;12.3;47.5;71.5;53.6;54.5;57.3
"Чистая прибыль, млрд руб";;-0.614;0.484;-6.29;-11.6;0.952;13.1;6.72;-2.23;8.03;37.3;38.6;37.7;26.8;25.9
"Операционный денежный поток, млрд руб";;;;;;4.54;6.36;5.90;8.87;9.80;38.1;63.0;43.1;40.2;46.4
"CAPEX, млрд руб";;;;;;1.42;4.08;5.30;3.84;3.10;23.9;36.5;59.3;21.0;10.8
"FCF, млрд руб";;;;;;3.51;0.026;-2.60;1.37;4.31;9.20;21.4;-22.2;9.74;26.5
"Див.выплата, млрд руб";;;;;;;;;;;;0.000;0.000;0.000;
"Дивиденд, руб/акцию";;;;;;;;;;;;0;0;0;
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;24.6;26.0;31.4;30.2;8.40;4.41;9.00;11.1;11.9;15.6;;23.8;21.1;20.2
"Себестоимость, млрд руб";;;;;;26.2;30.9;39.6;37.3;42.1;54.7;72.7;97.9;111.2;117.4
"Амортизация, млрд руб";;;;;;;;;;;;6.7;11.5;12.9;12.2
"Расх на персонал, млрд руб";;;;;;6.70;7.00;8.70;9.80;10.6;15.8;22.5;23.7;23.2;24.2
"Процентные расходы, млрд руб";;;;4.34;5.83;2.27;9.28;6.06;4.87;3.26;3.92;4.60;4.11;7.73;7.73
"Активы, млрд руб";;;;;58.8;53.7;62.5;60.8;61.3;54.7;119.6;166.3;210.7;278.5;242.6
