;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;08.07.2018;08.07.2018;30.06.2018;30.06.2018;30.06.2018;27.03.2019;27.03.2020;29.03.2021;01.06.2023;29.03.2024;29.03.2024;28.03.2025;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;126.0;137.0;155.8;158.8;167.6;193.9;179.0;154.0;;;236.2;269.7;285.6
"Операционная прибыль, млрд руб";;;;;;;31.0;30.7;29.7;28.1;22.7;;;39.2;46.2;49.0
"EBITDA, млрд руб";;;;13.2;16.2;37.4;35.9;35.4;34.7;34.1;29.1;;;69.7;71.3;71.7
"Чистая прибыль, млрд руб";;;;6.42;9.60;27.5;24.3;24.6;24.7;24.0;9.00;;;16.6;30.7;37.6
"Операционный денежный поток, млрд руб";;;;;;;17.7;32.5;17.4;45.7;37.3;;;23.6;54.5;81.7
"CAPEX, млрд руб";;;;7.90;6.90;14.7;13.4;13.5;33.7;37.0;51.2;;;57.1;80.4;102.9
"FCF, млрд руб";;;;;;;;;;;;;;-23.4;-32.7;-35.1
"Див.выплата, млрд руб";;4.32;5.09;1.83;2.78;7.94;0.000;0.000;36.5;16.6;1.34;18.9;2.73;5.38;5.36;5.36
"Дивиденд, руб/акцию";1,176;2,36;2,78;1;1,52;4,34;0;0;19,94;9,07;0,73;10,282;1,49;2,94;2,93;2,93
"Див доход, ао, %";;10.5%;9.5%;3.8%;7.3%;9.7%;0.0%;0.0%;30.7%;9.4%;0.8%;9.3%;1.8%;2.9%;3.3%;3.8%
"Дивиденд ап, руб/акцию";1,176;2,36;2,78;1;1,52;4,34;0;0;19,94;9,07;0,73;10,282;1,49;2,94;2,93;2,93
"Див доход, ап, %";;14.7%;11.5%;4.9%;9.1%;18.7%;0.0%;0.0%;49.2%;10.7%;0.9%;10.1%;2.0%;4.0%;4.2%;4.6%
"Дивиденды/прибыль, %";;;;28%;29%;29%;0%;0%;148%;69%;15%;;;32%;17%;14%
"Опер. расходы, млрд руб";;;;;;;19.0;17.9;16.8;15.4;11.8;;;197.1;223.6;236.8
"Себестоимость, млрд руб";;;;99.0;110.0;108.2;108.8;119.0;147.4;135.5;117.9;;;;;
"Амортизация, млрд руб";;;;;;;5.0;4.7;5.1;6.2;6.3;;;26.2;23.7;21.9
"Расх на персонал, млрд руб";;;;;;14.3;15.5;15.5;15.5;16.8;18.3;;;21.5;22.4;23.8
"Процентные расходы, млрд руб";;;;;;0.247;0.149;0.048;0.163;1.90;2.10;;;3.45;7.24;14.9
"Активы, млрд руб";;;;;;111.6;132.2;149.5;210.4;215.3;268.6;;;508.0;605.5;655.7
"Чистые активы, млрд руб";;;;60.0;67.7;92.4;108.6;133.2;158.0;145.1;137.6;;;312.6;333.4;354.5
"Долг, млрд руб";;;;6.60;7.00;2.40;1.000;0.522;33.6;50.1;97.3;;;126.6;182.3;194.9
"Наличность, млрд руб";;;;3.05;7.19;12.4;7.11;24.4;31.0;36.2;36.6;;;13.6;5.71;25.9
"Чистый долг, млрд руб";0.00;0.00;0.00;3.54;-0.20;-9.98;-6.11;-23.9;2.60;13.9;60.7;0.00;0.00;113.0;176.6;169.0
"Цена акции ао, руб";;22.5;29.4;26.6;20.9;44.6;76.1;51.4;65.0;96.9;91.5;110.9;84.3;102.9;90.0;78.0
"Число акций ао, млн";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611";"1 611"
"Цена акции ап, руб";;16.1;24.2;20.4;16.8;23.3;31.2;28.0;40.5;85.1;79.2;101.8;73.4;74.1;70.0;63.2
"Число акций ап, млн";219.0;219.0;219.0;219.0;219.0;219.0;219.0;219.0;219.0;219.0;219.0;219.0;219.0;219.0;219.0;219.0
"Капитализация, млрд руб";0.00;39.8;52.7;47.3;37.3;77.0;129.5;89.0;113.6;174.7;164.7;201.0;151.8;181.9;160.3;139.5
"EV, млрд руб";0.00;39.8;52.7;50.9;37.1;67.0;123.3;65.1;116.2;188.6;225.4;201.0;151.8;294.9;336.9;308.5
"Баланс стоимость, млрд руб";0.00;0.00;0.00;60.0;67.7;92.4;108.6;133.2;158.0;144.8;137.2;0.00;0.00;308.2;329.8;350.7
"EPS, руб";0.00;0.00;0.00;3.99;5.95;17.1;15.1;15.3;15.3;14.9;5.59;0.00;0.00;10.3;19.1;23.3
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-14.5;-20.3;-21.8
"BV/акцию, руб";0.00;0.00;0.00;37.2;42.0;57.4;67.4;82.7;98.0;89.9;85.2;0.00;0.00;191.3;204.7;217.7
"Рентаб EBITDA, %";;;;10.5%;11.8%;24.0%;22.6%;21.1%;17.9%;19.1%;18.9%;;;29.5%;26.4%;25.1%
"Чистая рентаб, %";;;;5.1%;7.0%;17.7%;15.3%;14.7%;12.7%;13.4%;5.8%;;;7.0%;11.4%;13.1%
"Доходность FCF, %";;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-14.1%;-22.5%;-28.0%
"ROE, %";;;;10.7%;14.2%;29.8%;22.4%;18.5%;15.6%;16.6%;6.5%;;;5.3%;9.2%;10.6%
"ROA, %";;;;;;24.7%;18.4%;16.4%;11.7%;11.2%;3.4%;;;3.3%;5.1%;5.7%
P/E;;;;7.37;3.89;2.79;5.32;3.62;4.60;7.27;18.3;;;10.9;5.22;3.72
P/FCF;;;;;;;;;;;;;;-7.79;-4.91;-3.97
P/S;;;;0.38;0.27;0.49;0.82;0.53;0.59;0.98;1.07;;;0.77;0.59;0.49
P/BV;;;;0.79;0.55;0.83;1.19;0.67;0.72;1.21;1.20;;;0.59;0.49;0.40
EV/EBITDA;;;;3.85;2.30;1.79;3.44;1.84;3.34;5.53;7.76;;;4.23;4.73;4.30
Долг/EBITDA;;;;0.27;-0.01;-0.27;-0.17;-0.67;0.07;0.41;2.09;;;1.62;2.48;2.36
