;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;08.07.2018;30.06.2018;30.06.2018;30.06.2018;30.06.2018;29.03.2019;27.03.2020;01.04.2021;;01.04.2024;01.04.2024;03.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Перевалка нефти, млн т";;;;;;;;;;;;;1.0;;;
"Перевалка Новороссийск, млн т";;;;;;;;;;;;;1.0;;;
"Перевалка Приморск, млн т";;;;;;;;;;;;;1.0;;;
"Грузооборот, млн т";;;;;;139.7;146.9;143.5;132.1;142.5;110.6;120.5;;;130.9;
"Транспорт нефти, млн т";;;;;;75.2;81.1;74.8;66.2;78.6;53.8;56.0;;;;
"Транспорт нефтепродуктов, млн т";;;;;;31.9;31.7;30.3;33.2;34.7;32.7;35.5;;;;
"Выручка, млрд руб";;;;29.6;36.3;53.5;58.0;52.5;59.7;56.1;45.6;;55.1;67.5;71.2;71.2
"Операционная прибыль, млрд руб";;;;;;;;;;;;;29.4;36.9;41.8;43.7
"EBITDA, млрд руб";;;;;-17.2;39.4;43.6;38.1;41.2;45.3;30.7;;35.7;43.2;48.2;50.0
"Чистая прибыль, млрд руб";;;;-3.50;-19.8;13.6;42.4;25.6;16.6;60.8;4.84;;34.5;29.6;37.4;36.9
"Чистая прибыль н/с, млрд руб";;;;;;-5.09;;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;28.6;32.8;35.7;39.8
"CAPEX, млрд руб";;;;;0.000;3.89;6.64;8.69;5.34;5.15;7.19;;5.37;6.08;20.0;23.5
"FCF, млрд руб";;;;;;;;;;44.4;14.3;;25.2;29.2;22.9;23.2
"Див.выплата, млрд руб";0.431;0.453;0.455;0.450;4.50;0.000;25.0;0.000;24.7;26.0;1.16;10.2;15.0;14.9;17.9;17.9
"Дивиденд, руб/акцию";0,023;0,0235;0,0236;0,0234;0,2336;0;1,298;0;1,28;1,35;0,06;0,54;0,798;0,772;0,9573;0,9573
