;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;09.07.2018;09.07.2018;09.07.2018;30.06.2018;16.04.2018;15.04.2019;27.03.2020;12.04.2021;26.04.2022;26.04.2023;26.04.2024;29.04.2025;28.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;30.8;32.1;32.2;35.5;40.0;40.6;42.7;40.5;44.1;45.6;49.1;52.6;54.8
"Операционная прибыль, млрд руб";;;;;;;0.460;0.680;0.790;1.24;1.01;1.13;1.24;1.80;2.50;2.80
"EBITDA, млрд руб";;;;0.338;0.444;0.439;0.458;0.676;0.830;1.23;1.16;0.180;1.32;1.90;2.65;
"Чистая прибыль, млрд руб";;;;0.303;0.322;0.277;0.351;0.507;0.667;0.981;0.740;0.960;1.10;1.75;2.66;2.91
"Операционный денежный поток, млрд руб";;;;;;;0.030;0.240;1.08;0.300;1.48;1.12;1.85;2.24;2.80;3.02
"CAPEX, млрд руб";;;;;;;0.050;0.058;0.062;0.080;0.134;0.149;0.129;0.205;0.498;0.636
"FCF, млрд руб";;;;;;;-0.018;0.296;1.02;0.240;1.35;0.970;1.71;2.21;2.29;2.41
"Див.выплата, млрд руб";;;;;;;;0.398;0.518;0.557;0.590;0.666;0.737;1.35;2.71;2.71
"Дивиденд, руб/акцию";9,85;13,2;11,46;6,81;6,85;6,88;6,97;8,37;10,9;11,71;12,5;14;15,5;28,4;57;57
"Див доход, ао, %";;;;;;;11.8%;10.3%;14.9%;12.4%;8.6%;9.1%;13.9%;15.5%;21.0%;17.8%
"Дивиденд ап, руб/акцию";9,85;13,2;11,46;6,81;6,85;6,88;6,97;8,37;10,9;11,71;12,5;14;15,5;28,4;57;57
"Див доход, ап, %";;;;;;;12.1%;10.3%;15.0%;12.8%;9.2%;9.7%;12.8%;14.5%;19.7%;17.4%
"Дивиденды/прибыль, %";;;;0%;0%;0%;0%;79%;78%;57%;80%;69%;67%;77%;102%;93%
"Опер. расходы, млрд руб";;;;;;;1.87;2.06;1.88;1.63;1.61;1.66;2.00;2.15;2.30;2.55
"Себестоимость, млрд руб";;;;29.1;30.0;30.1;33.2;37.3;37.9;39.8;37.9;41.4;42.3;45.2;48.2;49.7
"Амортизация, млрд руб";;;;;;;;;;;;;0.1;0.1;0.1;
"Расх на персонал, млрд руб";;;;;;;0.955;0.862;0.933;0.986;1.02;1.03;1.12;1.44;1.70;1.83
"Активы, млрд руб";;;;;;;4.68;4.32;5.56;5.79;6.77;7.50;8.30;9.58;10.8;8.26
"Чистые активы, млрд руб";;;;0.657;0.855;0.832;0.863;1.04;1.31;1.78;1.96;2.34;2.77;3.79;4.15;3.74
"Долг, млрд руб";;;;0.576;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
"Наличность, млрд руб";;;;0.053;0.229;0.078;0.736;0.742;1.39;1.10;1.86;2.12;3.04;4.34;5.30;3.15
