;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;09.07.2018;30.06.2018;30.06.2018;27.04.2018;27.04.2018;22.03.2019;20.03.2020;30.03.2021;24.03.2022;16.03.2023;01.03.2024;28.02.2025;15.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча коксующегося угля, млн т";;;;;;7.80;10.2;10.4;10.5;11.4;12.7;12.8;20.7;23.3;21.5;18.9;18.5;17.4
"Внутренняя цена на уголь, $/т";;;;;;;;72;69;114;113;;;;;;;
"Экспортная цена на уголь, $/т";;;;;;76;63;90;140;210;208;;;;;;;
"Реализация угля, млн т";;;;;;5.86;7.03;7.40;6.40;7.50;9.20;9.70;18.9;17.0;14.3;14.5;12.9;12.2
"Средняя цена на уголь, $/т";;;;;;;;;;;107;90;53;124;;;;
"Выручка, млрд руб";;;;;;17.4;16.9;24.1;30.9;47.9;65.0;61.5;44.7;153.8;194.2;185.8;160.6;130.6
"Операционная прибыль, млрд руб";;;;;;;;-8.00;17.9;24.6;34.9;15.9;15.7;81.9;75.2;44.2;-9.90;-24.2
"EBITDA, млрд руб";;;;;;-0.314;1.68;6.47;13.3;26.6;37.9;27.4;14.2;98.1;88.8;60.7;8.06;-4.11
"Чистая прибыль, млрд руб";;;;;;-4.03;-13.8;-4.32;9.96;18.6;28.0;13.7;12.7;63.7;58.9;34.6;-11.8;-20.1
"Чистая прибыль н/с, млрд руб";;;;;;;;-8.84;12.1;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;6.35;11.3;23.7;23.5;23.6;13.3;64.1;65.4;24.3;-0.992;-0.504
"CAPEX, млрд руб";;;;;;;;2.19;2.56;3.53;3.39;4.94;4.08;16.1;15.3;18.4;26.9;23.1
"FCF, млрд руб";;;;;;;0.840;4.27;8.91;20.3;20.1;18.8;9.30;47.9;50.9;5.40;-22.4;-17.9
"Див.выплата, млрд руб";;;;;0.000;0.000;0.000;;;0.000;0.000;1.99;5.60;35.0;;;;
"Дивиденд, руб/акцию";5,25;0;5;5;0;0;0;;;0;0;2,83;8,4;51;;;;
"Див доход, ао, %";17.6%;0.0%;2.3%;5.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;2.7%;5.4%;10.9%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;0%;0%;0%;0%;0%;0%;15%;44%;55%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;15.3;2.50;2.83;2.96;16.1;0.000;12.5;47.1;60.1;61.2;57.0
"Себестоимость, млрд руб";;;;;;15.0;14.8;18.2;19.5;23.9;30.1;32.6;31.3;59.5;72.4;84.4;89.3;97.6
"Амортизация, млрд руб";;;;;;;;;;;;;;;13.3;16.5;18.0;20.1
"Расх на персонал, млрд руб";;;;;;;5.01;6.57;6.10;;6.27;7.54;8.24;19.7;23.6;29.3;33.2;
"Процентные расходы, млрд руб";;;;;;;;2.20;2.25;1.33;0.121;0.003;0.340;2.40;1.50;0.800;0.000;1.12
"Активы, млрд руб";;;;;;;;64.7;83.7;77.2;108.5;101.0;202.0;211.8;219.0;260.3;251.2;235.1
"Чистые активы, млрд руб";;;;;;28.8;15.9;7.45;19.4;37.9;65.9;74.8;79.0;106.9;166.5;202.5;190.2;173.3
"Долг, млрд руб";;;;;;16.5;28.1;29.8;26.3;0.000;0.000;0.016;0.000;29.7;0.000;0.000;0.000;0.000
"Наличность, млрд руб";;;;;;0.186;1.49;2.93;2.10;2.57;4.64;35.4;42.7;29.8;27.1;29.8;8.88;9.85
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;16.3;26.6;26.9;24.2;-2.57;-4.64;-35.3;-42.7;-0.04;-27.1;-29.8;-8.88;-9.85
"Цена акции ао, руб";29.8;146.5;214.9;99.0;58.0;30.1;23.0;30.0;79.7;89.0;129.0;106.6;156.5;469.3;227.2;432.9;260.5;165.2
"Число акций ао, млн";780.8;780.8;780.8;780.8;780.8;703.2;703.2;703.2;703.2;703.2;703.2;703.3;682.9;682.9;665.7;665.7;665.7;665.7
"Free Float, %";18.0%;;;;;;;;;;;;;;;;7.00%;7.00%
"Капитализация, млрд руб";23.3;114.4;167.8;77.3;45.3;21.2;16.2;21.1;56.1;62.6;90.7;75.0;106.9;320.5;151.2;288.2;173.4;110.0
"EV, млрд руб";23.3;114.4;167.8;77.3;45.3;37.5;42.8;48.0;80.3;60.0;86.1;39.6;64.2;320.4;124.1;258.4;164.5;100.1
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;28.8;15.9;7.45;19.4;37.9;65.9;74.8;79.0;106.9;166.5;202.5;190.2;173.3
"EPS, руб";0.00;0.00;0.00;0.00;0.00;-5.73;-19.7;-6.15;14.2;26.4;39.7;19.4;18.6;93.3;88.4;52.0;-17.7;-30.2
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;1.19;6.07;12.7;28.9;28.6;26.8;13.6;70.2;76.4;8.11;-33.6;-26.9
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;41.0;22.7;10.6;27.5;53.9;93.7;106.3;115.6;156.5;250.1;304.2;285.7;260.3
