;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";10.07.2018;10.07.2018;10.07.2018;10.07.2018;10.07.2018;23.04.2019;17.04.2020;08.04.2021;11.04.2022;11.04.2023;05.04.2024;04.04.2025;28.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";6.33;6.25;5.72;6.00;6.29;7.25;7.21;5.20;6.60;6.87;8.36;9.59;10.0
"Операционная прибыль, млрд руб";;;;0.793;0.205;1.51;1.88;-1.000;2.62;0.770;2.56;3.36;3.44
"EBITDA, млрд руб";2.67;1.56;-0.328;1.20;0.775;2.08;2.53;-0.350;3.21;1.30;3.02;3.94;4.06
"Чистая прибыль, млрд руб";1.68;2.35;0.286;-1.28;0.556;1.70;1.29;-0.133;2.10;0.670;3.60;3.11;3.71
"Операционный денежный поток, млрд руб";;;;1.07;1.82;1.88;2.08;0.773;2.01;2.12;1.98;2.30;1.87
"CAPEX, млрд руб";;;;0.449;0.920;0.411;0.500;0.250;0.195;0.470;0.378;0.337;0.371
"FCF, млрд руб";;;;0.857;1.04;1.60;1.76;0.651;1.96;2.07;2.47;4.48;4.70
"Див.выплата, млрд руб";;;;;0.600;0.700;0.700;0.700;0.700;0.700;0.860;1.10;
"Дивиденд, руб/акцию";;;;;0,4819;0,56225;0,5622;0,56;0,56225;0,56225;0,6868;0,883534136546;
"Див доход, ао, %";;;;0.0%;6.6%;8.4%;6.8%;6.0%;5.8%;7.3%;5.6%;6.3%;0.0%
"Дивиденд ап, руб/акцию";;;;;0,4819;0,56225;0,5622;0,56;0,56225;0,56225;0,6868;0,883534136546;
"Див доход, ап, %";;;;0.0%;8.6%;8.4%;7.5%;6.7%;6.7%;8.8%;7.3%;8.5%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;108%;41%;54%;0%;33%;104%;24%;35%;0
"Опер. расходы, млрд руб";;;;2.78;3.47;2.87;2.21;3.82;1.35;2.78;3.17;3.56;3.72
"Себестоимость, млрд руб";2.09;2.43;2.42;2.42;2.61;2.87;3.12;2.40;2.63;2.67;2.93;3.37;3.52
"Амортизация, млрд руб";;;;;;;0.7;0.7;0.6;0.5;0.5;0.6;0.6
"Расх на персонал, млрд руб";;;;;2.34;2.39;2.56;1.98;2.23;2.39;2.64;3.11;3.26
"Активы, млрд руб";;;;;51.3;52.9;54.9;53.0;56.0;56.5;62.4;67.6;69.5
"Чистые активы, млрд руб";46.7;48.5;48.4;42.8;43.0;44.5;45.7;44.2;46.9;47.5;52.8;55.6;57.1
"Долг, млрд руб";0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
"Наличность, млрд руб";1.20;3.13;0.744;1.10;1.41;1.71;1.68;0.690;1.17;3.49;12.8;16.5;7.39
"Чистый долг, млрд руб";-1.20;-3.13;-0.74;-1.10;-1.41;-1.71;-1.68;-0.69;-1.17;-3.49;-12.8;-16.5;-7.39
"Цена акции ао, руб";;;;9.05;7.25;6.66;8.26;9.26;9.64;7.74;12.2;13.9;13.4
"Число акций ао, млн";"1 083";"1 083";"1 083";"1 083";"1 083";"1 083";"1 083";"1 083";"1 083";"1 083";"1 083";"1 083";"1 083"
"Цена акции ап, руб";;;;6.40;5.58;6.66;7.46;8.32;8.44;6.36;9.38;10.4;11.4
"Число акций ап, млн";162.0;162.0;162.0;162.0;162.0;162.0;162.0;162.0;162.0;162.0;162.0;162.0;162.0
"Капитализация, млрд руб";0.00;0.00;0.00;10.8;8.76;8.29;10.2;11.4;11.8;9.41;14.7;16.8;16.4
"EV, млрд руб";-1.20;-3.13;-0.74;9.74;7.35;6.58;8.48;10.7;10.6;5.92;1.94;0.23;8.99
"Баланс стоимость, млрд руб";46.7;48.5;48.4;42.8;43.0;44.5;45.6;44.1;46.8;47.5;52.8;55.6;57.1
"EPS, руб";1.55;2.17;0.26;-1.18;0.51;1.57;1.19;-0.12;1.94;0.62;3.32;2.87;3.43
"FCF/акцию, руб";0.00;0.00;0.00;0.79;0.96;1.48;1.63;0.60;1.81;1.91;2.28;4.14;4.34
"BV/акцию, руб";43.1;44.8;44.7;39.5;39.7;41.0;42.1;40.7;43.2;43.8;48.8;51.3;52.7
"Рентаб EBITDA, %";42.2%;25.0%;-5.7%;20.0%;12.3%;28.7%;35.1%;-6.7%;48.6%;18.9%;36.1%;41.1%;40.6%
"Чистая рентаб, %";26.6%;37.5%;5.0%;-21.4%;8.8%;23.4%;17.9%;-2.6%;31.8%;9.8%;43.1%;32.4%;37.1%
"Доходность FCF, %";;;;8.7%;13.2%;22.2%;19.7%;6.5%;18.7%;24.7%;18.7%;29.7%;32.4%
